irrelevant,result
1,6920
2,7173
3,6932
4,7040
5,7201
6,6630
7,6800
8,7068
9,7143
10,7041
11,6857
12,6880
13,7031
14,6770
15,7246
16,7196
17,7036
18,7262
19,7056
20,7050
21,7152
22,6755
23,7062
24,7142
25,6923
26,6821
27,7071
28,6650
29,6678
30,6940
31,7100
32,7466
33,7259
34,6950
35,6826
36,7189
37,6648
38,6588
39,7520
40,7249
41,7198
42,7064
43,6749
44,7136
45,7469
46,6802
47,7076
48,6836
49,6930
50,7451
51,6834
52,7232
53,7372
54,6829
55,7282
56,7078
57,7048
58,7323
59,7073
60,7109
61,7106
62,6978
63,7293
64,6784
65,7142
66,6950
67,7115
68,7006
69,6971
70,7100
71,7547
72,7073
73,7030
74,7097
75,7028
76,7157
77,7257
78,6818
79,7125
80,7262
81,6968
82,7013
83,6829
84,7058
85,7060
86,6990
87,6366
88,7186
89,7144
90,6950
91,7317
92,6846
93,7013
94,6739
95,6915
96,6805
97,6893
98,7177
99,6995
100,6974
