irrelevant,result
1,3896
2,3850
3,3780
4,3860
5,3877
6,3740
7,3229
8,3764
9,4155
10,4089
11,3881
12,4117
13,3794
14,3810
15,4068
16,3834
17,3687
18,3845
19,3729
20,4165
21,3749
22,3775
23,3751
24,3556
25,3895
26,3564
27,3728
28,3716
29,3709
30,3899
31,3859
32,3767
33,3285
34,3831
35,4062
36,3875
37,4066
38,3756
39,4054
40,4051
41,3713
42,4151
43,4035
44,4060
45,3916
46,3866
47,4100
48,3891
49,3674
50,3746
51,4053
52,3727
53,3875
54,3730
55,3885
56,3852
57,4071
58,3740
59,4072
60,3906
61,4065
62,3735
63,4077
64,3726
65,3883
66,3744
67,4104
68,3779
69,3729
70,3814
71,4052
72,3831
73,3801
74,3852
75,3749
76,3252
77,3885
78,3844
79,3839
80,4046
81,3854
82,3729
83,3818
84,3735
85,3885
86,3810
87,3718
88,4086
89,3725
90,3909
91,3819
92,3903
93,3735
94,4095
95,4061
96,4126
97,4129
98,4177
99,3742
100,4087
