compileThreshold,result
0,23722
200,4113
400,3856
600,3745
800,3951
1000,3869
1200,3773
1400,4075
1600,4057
1800,4051
2000,3748
2200,4079
2400,4062
2600,3744
2800,3730
3000,3736
3200,4065
3400,3880
3600,4047
3800,3888
4000,4051
4200,3828
4400,3888
4600,3826
4800,4139
5000,3723
5200,3781
5400,3724
5600,3832
5800,3724
6000,3532
6200,4076
6400,4106
6600,3836
6800,4059
7000,4069
7200,3838
7400,3733
7600,4047
7800,3723
8000,4150
8200,3893
8400,3718
8600,4075
8800,3727
9000,3850
9200,4058
9400,4176
9600,3769
9800,3849
10000,3854
10200,3732
10400,3835
10600,3730
10800,3815
11000,3743
11200,3878
11400,4052
11600,3761
11800,4067
12000,4087
12200,4075
12400,3801
12600,3740
12800,4068
13000,3763
13200,4052
13400,3925
13600,4150
13800,3724
14000,3754
14200,3838
14400,3814
14600,4062
14800,4067
15000,3745
15200,4053
15400,3931
15600,3730
15800,4082
16000,3725
16200,3828
16400,4183
16600,3729
16800,3513
17000,3727
17200,3806
17400,3827
17600,3877
17800,3764
18000,4078
18200,3919
18400,3904
18600,4057
18800,4069
19000,4148
19200,3728
19400,3857
19600,3772
19800,3722
20000,3742
20200,3842
20400,4061
20600,3813
20800,3789
21000,3771
21200,4123
21400,3705
21600,3917
21800,3842
22000,3729
22200,4091
22400,3749
22600,4061
22800,3734
23000,3832
23200,4080
23400,3849
23600,4166
23800,3740
24000,4050
24200,3719
24400,4079
24600,4102
24800,3834
25000,4038
25200,4169
25400,4148
25600,3747
25800,4189
26000,3711
26200,4068
26400,3867
26600,3783
26800,3775
27000,3733
27200,4147
27400,3739
27600,3794
27800,3863
28000,3733
28200,3876
28400,3897
28600,3642
28800,3832
29000,3893
29200,4047
29400,3715
29600,4068
29800,4147
30000,3750
30200,3737
30400,4070
30600,4155
30800,4060
31000,3827
31200,3256
31400,4038
31600,4059
31800,4052
32000,3764
32200,4073
32400,3780
32600,3719
32800,3795
33000,4075
33200,3921
33400,4054
33600,3718
33800,3556
34000,4083
34200,3883
34400,3730
34600,4161
34800,3819
35000,3766
35200,3821
35400,3900
35600,4058
35800,3725
36000,3933
36200,3839
36400,3839
36600,3901
36800,3840
37000,3773
37200,3818
37400,4083
37600,3901
37800,3736
38000,4053
38200,3734
38400,3750
38600,3733
38800,3852
39000,4058
39200,4082
39400,4055
39600,3853
39800,3845
40000,3861
