compileThreshold,result
500,3725
1000,3724
1500,3741
2000,3622
2500,3716
3000,3729
3500,3729
4000,3739
4500,3839
5000,3533
5500,3593
6000,3736
6500,3559
7000,3798
7500,3570
8000,3722
8500,3761
9000,3739
9500,3624
10000,3524
10500,3558
11000,3720
11500,3771
12000,3557
12500,3720
13000,3834
13500,3245
14000,3721
14500,3807
15000,3651
15500,3600
16000,3734
16500,3844
17000,3579
17500,3734
18000,3732
18500,3617
19000,3719
19500,3727
20000,3730
20500,3728
21000,3722
21500,3717
22000,3600
22500,3613
23000,3732
23500,3725
24000,3746
24500,3742
25000,3737
25500,3734
26000,3651
26500,3560
27000,3789
27500,3577
28000,3554
28500,3706
29000,3905
29500,3781
30000,3739
30500,3788
31000,3715
31500,3734
32000,3863
32500,3727
33000,3722
33500,3733
34000,3751
34500,3742
35000,3722
35500,3531
36000,3767
36500,3712
37000,3568
37500,3732
38000,3815
38500,3737
39000,3754
39500,3620
40000,3726
