minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
382,1856,3,9,73,336,1,52,23,3914
194,1812,3,10,59,183,0,27,18,3900
152,997,10,14,28,159,1,101,11,4283
308,1728,7,7,42,326,1,73,21,3923
254,1701,2,14,51,413,3,23,15,4036
295,615,10,13,60,323,1,101,26,4369
53,1838,2,13,20,182,1,14,9,3670
315,1366,2,5,70,163,0,19,18,3900
100,739,6,15,76,489,0,106,11,4695
116,1317,8,12,51,198,1,131,11,4577
245,1473,7,11,54,254,1,60,7,3872
274,1003,9,10,61,217,1,116,25,4612
87,1213,2,9,43,223,1,47,8,3554
365,857,10,10,47,409,2,147,6,5049
360,601,6,7,24,431,0,140,26,4215
380,1134,9,15,33,137,3,95,12,4161
109,1933,6,6,27,253,3,141,23,4221
81,1226,7,5,26,196,0,146,10,4173
84,632,9,10,50,163,2,64,18,3743
330,1437,10,13,56,427,1,112,25,4578
341,806,5,10,51,293,3,142,10,4529
303,1764,3,15,51,438,2,118,22,4788
185,906,3,11,53,248,1,111,8,4266
232,1422,2,6,42,295,0,135,16,4298
177,1865,8,7,31,218,1,51,9,3518
289,951,8,15,74,170,2,47,23,3849
396,783,4,9,66,410,0,26,24,3964
105,718,6,15,63,390,1,33,20,4193
330,933,6,15,47,424,0,73,25,3908
223,1816,2,13,21,475,2,32,26,4019
396,556,5,15,51,350,3,148,6,4909
266,1179,7,15,38,235,2,89,6,4189
164,1462,4,7,67,123,1,59,25,3812
303,845,6,8,23,390,1,56,24,4079
54,1242,5,10,80,134,2,87,23,4071
183,726,2,8,75,350,3,22,6,3987
276,861,8,10,69,229,2,65,24,3865
233,1833,6,13,46,419,3,15,16,4037
147,948,8,15,30,248,1,72,26,3811
174,1068,2,13,66,158,0,17,26,3891
302,1270,2,12,41,425,2,147,24,5049
219,1329,4,7,66,224,3,36,7,3909
150,575,2,13,31,480,1,67,12,3905
353,644,5,7,41,216,1,147,16,4593
307,823,8,5,56,129,1,132,23,4253
300,1564,5,10,76,252,0,22,19,3924
389,1255,10,5,64,195,1,22,24,3892
219,1093,6,12,50,495,2,65,13,4445
183,867,9,11,71,458,2,121,18,5307
248,863,3,14,24,342,2,71,7,3816
51,962,10,14,35,220,2,47,7,3535
132,976,7,11,25,217,2,50,7,3474
326,1470,9,5,31,141,2,49,8,3695
101,592,7,5,22,214,0,59,6,3517
147,1190,9,7,35,263,3,49,7,3879
89,539,6,14,39,199,0,46,7,3518
132,660,5,13,36,208,3,34,6,3746
96,1220,8,11,20,122,0,47,6,3707
91,1242,7,7,22,218,2,59,11,3527
50,631,8,13,25,212,0,76,9,3751
101,953,5,10,27,267,1,51,10,3552
98,586,2,6,41,385,2,84,6,4227
115,589,6,5,23,215,0,40,15,3675
100,725,8,5,29,336,2,50,7,3581
111,853,8,14,22,451,0,53,10,3561
110,1569,9,7,31,423,2,46,10,4087
121,1172,7,6,21,331,2,51,9,3544
69,539,7,13,47,327,0,53,9,3881
52,961,4,11,42,274,2,48,7,3937
120,547,6,10,21,499,2,63,7,4105
100,920,7,9,21,300,2,42,13,3520
108,925,5,8,24,320,2,42,16,3525
132,606,7,6,25,173,3,62,9,3789
160,1733,8,8,20,325,2,51,6,3538
101,1390,8,8,24,331,2,47,20,3529
52,1128,8,8,21,354,1,54,20,3577
64,1028,7,11,21,364,2,41,24,3521
150,1787,7,12,22,381,2,44,22,3524
129,1854,7,10,25,427,2,53,23,4081
82,1062,6,11,20,379,2,37,25,3665
164,1754,8,8,24,322,2,28,19,3716
103,644,7,11,22,390,3,45,17,4033
72,1863,7,10,23,301,2,61,15,3872
148,899,10,9,21,223,1,57,12,3540
95,931,6,11,30,217,2,54,12,3796
87,1327,8,5,25,364,2,53,15,3567
198,699,8,5,21,382,2,43,15,3933
98,1375,8,15,27,356,2,31,17,3714
120,848,7,12,24,277,2,45,23,3532
151,1091,7,15,27,315,2,45,26,3536
116,1153,6,6,22,376,2,51,10,3539
69,1211,5,6,26,405,0,36,19,3668
142,1015,7,7,21,398,2,32,12,3894
129,1971,7,14,21,233,2,50,21,3479
95,849,9,7,20,235,2,71,24,3759
181,1214,7,13,21,193,2,47,7,3699
170,957,5,14,23,274,2,56,13,3860
125,1845,10,10,28,272,2,51,18,3556
139,1717,3,13,24,302,2,50,24,3543
113,629,7,7,32,292,1,50,26,3881
144,1477,7,15,24,296,1,54,21,3575
155,1291,10,14,21,386,2,88,26,4392
147,1389,8,11,21,340,0,47,24,3525
83,1249,7,9,20,337,0,62,26,3605
143,1560,10,8,23,353,2,54,24,3588
127,1417,8,15,25,383,1,46,18,3752
151,1544,9,8,21,231,1,42,26,3717
87,1847,10,6,21,370,2,60,13,3605
122,1024,9,10,20,361,0,41,23,3517
176,1855,6,10,22,356,0,50,22,3538
81,1090,2,14,24,390,2,61,25,4376
69,1113,2,11,21,282,2,41,23,3521
138,1506,2,14,21,287,1,47,24,3527
154,1353,3,7,23,368,1,57,21,3601
