minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
361,1140,2,10,74,389,2,86,7,5244
266,646,8,7,48,147,2,98,15,4326
133,1662,2,12,24,385,1,70,14,4071
194,1494,3,14,35,224,3,27,19,3735
343,1639,4,13,77,469,3,74,22,4658
201,552,3,12,34,123,2,85,18,3903
182,1211,7,14,35,483,1,32,23,3793
343,1467,7,6,40,472,3,54,19,4670
333,1335,4,6,41,187,0,123,21,4215
270,882,7,6,50,323,3,150,24,4854
354,1341,7,12,76,350,2,13,16,3994
363,1666,6,10,67,317,1,51,14,3918
355,659,3,13,26,316,2,39,20,3682
109,1899,4,5,35,371,0,71,11,3896
136,1823,3,13,47,140,0,13,21,3694
76,825,8,9,65,199,2,148,23,5222
364,1432,9,10,36,402,3,127,22,4820
324,1436,10,7,69,392,1,103,9,4588
146,1638,8,10,50,288,3,13,10,3570
273,1967,7,9,69,426,3,133,7,5084
271,715,8,8,56,318,2,25,8,3960
376,753,6,10,35,190,0,140,21,4602
192,1260,8,7,28,162,1,131,25,4155
190,595,10,14,32,437,1,67,9,3897
233,1871,9,6,33,483,1,124,25,4607
223,1552,4,12,47,183,3,100,25,4018
329,1455,8,6,72,357,0,60,23,3946
75,829,9,10,69,376,2,119,19,4799
187,1128,3,9,38,403,1,41,15,3808
254,1972,8,8,74,498,1,145,12,5112
272,991,4,11,71,198,1,141,20,4602
307,1456,5,8,28,409,1,109,22,4378
79,1452,8,12,38,438,0,126,13,4589
294,582,8,13,47,463,0,22,22,3736
115,512,7,8,43,448,0,115,26,4175
105,774,7,8,64,449,3,24,15,4482
226,1668,6,10,38,246,1,106,21,4182
152,1517,4,7,28,462,1,72,10,4054
314,893,6,9,56,211,2,13,9,3895
301,812,10,6,67,162,2,141,20,4449
176,1119,6,13,55,436,0,119,19,4631
354,797,8,8,79,498,3,109,25,5040
302,1871,9,8,63,488,0,101,23,4401
189,1648,8,5,73,320,0,72,16,4474
254,1112,6,9,41,250,2,73,23,3850
364,754,7,14,52,204,1,79,23,3912
254,882,4,9,24,308,0,106,9,4338
