minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
56,910,3,8,73,308,1,11,12,3763
196,1136,2,7,40,228,0,15,8,3671
330,1737,9,8,21,203,1,36,10,4082
321,705,3,13,61,356,3,48,25,3680
204,730,10,12,55,326,2,63,22,3586
309,681,5,6,67,272,3,44,21,3813
170,585,2,5,80,422,2,14,16,3885
327,1464,4,14,30,412,0,95,26,4085
109,1525,2,6,48,277,3,93,25,4013
317,550,2,12,60,482,0,48,24,3662
345,1597,8,6,50,460,1,84,23,4379
328,1321,8,9,64,379,0,86,9,4248
174,1173,8,9,59,493,0,131,10,4428
224,1473,3,8,64,286,3,70,26,4067
107,1791,9,7,27,144,2,46,13,3725
94,1882,2,11,43,498,1,22,22,3722
347,1715,2,6,48,475,2,42,20,3749
187,1059,2,11,21,419,2,107,10,4130
355,1352,7,9,27,410,1,116,19,4091
138,1119,8,6,58,233,1,125,15,3846
257,1997,5,7,29,155,1,77,9,3547
372,1945,10,9,36,221,3,84,20,4383
83,1306,8,10,50,221,0,95,16,4032
221,1191,10,14,35,418,3,57,6,3644
344,1308,7,6,73,168,3,119,23,4407
97,1085,7,15,80,477,3,97,24,3824
113,1199,3,5,64,378,2,89,8,4409
305,779,4,12,60,370,1,32,14,3684
361,1474,8,5,44,395,2,72,22,3966
169,1251,6,12,62,104,2,109,19,3750
127,1985,7,14,55,263,3,24,12,3907
338,551,10,12,70,320,2,141,18,4647
268,688,2,14,63,486,0,138,22,4630
394,1967,10,8,28,443,3,19,22,3510
113,503,10,14,45,141,0,24,15,3812
66,1080,9,6,56,327,2,61,26,3548
51,883,2,7,20,347,1,131,8,3884
353,1200,3,5,67,296,2,39,8,3689
108,1012,3,12,56,499,2,13,12,3512
359,1130,7,11,69,302,0,112,20,3390
307,1330,8,14,72,480,3,33,23,4032
146,1522,8,13,60,279,2,125,6,4840
73,1891,5,7,79,451,0,60,11,3878
150,1364,6,12,70,378,2,98,7,4195
155,1561,7,13,20,463,1,112,21,4168
198,1671,7,10,73,169,3,68,14,3536
207,1175,3,15,55,152,0,115,17,4405
182,1962,2,12,39,484,0,11,25,3243
386,801,6,14,45,154,1,22,8,3805
71,516,4,8,33,362,1,87,15,4100
281,1954,10,10,40,329,0,11,26,3541
278,1877,7,15,20,125,0,11,25,3031
215,1959,10,14,76,172,0,11,25,3869
264,1894,5,15,23,346,2,11,24,3850
240,1113,7,12,30,427,0,12,25,3944
76,1909,7,15,37,443,0,14,24,3734
334,1879,5,13,35,189,0,10,19,3795
341,1972,10,14,52,108,0,11,26,3276
244,1786,7,6,60,133,0,14,25,3607
175,1764,5,12,35,104,0,16,24,3218
330,753,8,12,46,110,0,10,25,3275
351,924,3,6,64,104,0,11,25,3653
282,1818,9,13,29,111,0,24,26,3881
181,1973,8,10,28,130,0,12,24,4215
361,1585,9,13,35,142,0,12,25,3259
385,1560,8,15,27,118,2,15,26,3660
241,1254,3,11,20,111,0,13,26,3788
62,1060,4,12,30,122,0,11,25,4201
324,1674,8,15,43,101,0,11,20,3249
172,1793,5,13,20,119,0,13,22,3859
307,1617,6,15,22,414,0,12,25,3528
323,1435,8,15,47,187,0,12,26,3688
329,1712,7,15,41,110,1,16,25,3228
333,1898,5,9,56,117,1,15,25,3617
186,874,10,14,47,108,3,11,24,3861
361,1377,8,15,22,163,0,11,23,3661
213,1897,8,15,40,120,1,12,26,3291
266,1917,10,15,32,116,3,14,26,3280
265,1905,7,15,52,168,2,20,26,3556
309,1810,7,14,52,134,0,11,25,3796
311,1916,7,13,40,117,2,16,25,3765
239,1790,9,15,36,106,0,17,17,3940
361,1504,8,10,35,447,0,11,25,3792
246,1765,6,15,55,113,3,10,24,3608
276,1784,10,11,42,104,0,12,25,3256
342,1891,9,12,27,101,0,12,14,3666
51,1745,2,5,42,158,0,12,25,3342
250,1730,10,14,38,123,3,10,25,3905
387,1994,5,15,37,115,1,14,23,3691
230,1914,4,9,34,248,0,13,26,3672
233,1773,2,11,39,130,0,14,24,3697
312,1746,9,15,27,179,3,19,25,4290
97,1501,6,12,41,101,1,19,25,3252
192,1499,6,15,61,107,1,13,25,3686
113,1994,8,14,41,156,1,20,25,3666
336,1951,9,13,29,100,0,15,25,3676
262,1280,7,12,38,110,0,22,26,3893
168,1727,8,12,22,326,0,11,25,3772
171,1876,5,12,35,101,1,12,25,3789
105,1584,2,14,37,110,0,15,25,3756
363,590,7,11,75,194,0,110,20,4540
280,1739,10,14,42,156,2,16,25,3270
281,1775,10,13,48,159,2,14,26,3284
387,1545,8,8,44,128,1,12,18,3270
353,1531,8,5,44,171,1,16,17,3293
334,1582,8,6,39,104,2,14,12,3701
63,1582,9,8,44,109,2,14,23,3284
314,1764,8,7,45,136,3,12,7,3764
282,1574,10,11,44,102,1,11,13,3766
334,1806,9,13,46,137,2,15,17,3244
81,1811,10,9,41,180,2,17,26,3846
55,1731,10,15,51,104,2,12,26,3847
278,1447,10,7,41,147,1,10,22,3249
335,1991,7,14,28,155,1,16,25,3573
257,1479,8,14,45,133,1,15,25,3517
369,1310,10,12,35,114,1,11,25,3773
168,1522,8,13,43,117,1,13,23,3282
74,945,8,10,43,131,2,16,20,3296
179,1070,9,6,43,156,2,17,20,3309
57,1065,7,13,41,145,1,11,17,3848
56,1345,9,10,41,133,1,16,18,3265
170,639,7,7,42,151,2,16,22,3511
326,905,10,5,45,136,1,20,22,3298
325,841,10,6,48,183,1,11,22,3310
69,1538,10,15,41,119,1,16,19,3817
392,1749,9,5,42,173,1,18,26,3799
381,1697,9,5,42,137,1,26,22,3241
305,1517,9,14,47,125,2,26,23,3792
80,1177,9,6,39,140,2,21,20,3468
381,950,9,9,46,138,1,24,20,3557
389,1939,10,15,32,118,0,17,18,3775
75,1634,9,11,41,124,1,17,19,3248
226,1468,10,12,44,101,2,16,19,3239
177,1926,8,8,49,169,2,10,23,3288
199,649,9,12,41,140,0,10,25,3020
97,883,10,9,46,225,0,10,25,3608
263,1106,10,11,42,174,0,10,23,3824
175,670,9,15,42,128,0,10,22,3623
339,1697,8,12,44,117,0,19,22,3868
117,1118,7,10,43,116,1,10,21,3321
239,1263,10,6,34,130,1,14,22,3797
229,1553,9,10,41,148,1,16,24,3780
246,555,9,9,41,125,1,10,20,3265
167,643,4,13,45,110,0,15,26,3259
184,588,10,5,43,185,0,12,24,3846
152,584,10,11,41,126,0,13,24,3791
235,1843,10,10,44,115,2,16,23,3786
51,882,9,13,48,145,2,10,22,3302
187,524,5,7,41,110,0,11,19,3296
270,1305,5,8,48,144,0,10,21,3795
179,1242,6,12,44,104,2,12,25,3245
378,1179,9,6,43,104,1,40,19,3246
297,699,9,13,39,130,0,10,17,3924
346,1404,9,5,59,116,1,53,19,3628
217,750,7,13,46,122,0,15,26,3231
311,807,9,11,49,110,0,12,24,3056
154,865,6,11,43,134,1,11,26,3853
291,672,9,15,43,110,0,13,26,3293
357,1064,8,15,47,116,0,12,25,3041
157,890,9,8,41,138,0,13,19,3831
350,692,7,14,52,108,0,13,19,3791
223,1384,9,12,44,138,1,12,20,3255
143,626,8,15,46,105,0,19,25,3266
