irrelevant,result
1,744
2,744
3,745
4,746
5,747
6,743
7,747
8,746
9,745
10,749
11,745
12,750
13,745
14,746
15,750
16,749
17,746
18,747
19,747
20,750
21,744
22,746
23,746
24,743
25,750
26,746
27,747
28,746
29,745
30,749
31,742
32,747
33,746
34,747
35,747
36,746
37,748
38,745
39,747
40,747
41,741
42,744
43,749
44,746
45,746
46,752
47,748
48,745
49,755
50,747
51,742
52,747
53,747
54,747
55,747
56,746
57,748
58,748
59,743
60,747
61,747
62,747
63,744
64,747
65,747
66,744
67,748
68,744
69,750
70,747
71,745
72,746
73,745
74,748
75,749
76,745
77,748
78,746
79,743
80,746
81,746
82,747
83,746
84,749
85,746
86,745
87,746
88,743
89,748
90,751
91,744
92,746
93,743
94,746
95,748
96,747
97,744
98,747
99,748
100,748
