backgroundCompilationEnabled,compileThreshold,maxInlineSize,freqInlineSize,counterDecayEnabled,result
1,28000,79,2907,1,761
1,2401,82,475,0,1520
1,15543,125,3232,1,1538
0,4065,98,522,1,1678
1,38770,114,183,1,764
1,18307,31,2965,0,1533
1,994,43,1555,0,1540
0,6082,58,3414,0,1525
0,4334,10,4321,0,1679
0,21187,107,4232,1,767
0,35398,82,2029,0,760
1,21248,49,766,0,1535
0,24435,20,4507,0,760
0,35886,51,4085,1,766
1,29821,102,561,0,1537
0,24034,123,4470,0,757
1,20922,35,2036,0,1533
0,21983,32,2728,0,760
0,38984,67,1055,1,783
0,24124,29,3844,1,765
0,15487,137,2318,0,1524
1,19584,61,3043,1,762
0,25712,144,3288,0,761
0,23384,29,487,0,761
0,12645,91,2718,1,768
0,30595,67,407,1,768
0,15941,120,1395,1,764
0,17419,81,4814,0,1522
1,28581,150,2008,1,761
1,5817,22,1340,1,1533
0,23694,143,1620,0,759
1,11538,74,3678,1,1535
0,12364,79,2733,1,1533
0,17381,128,210,1,764
0,3029,67,4410,1,1689
1,18387,146,1794,1,766
0,28903,117,730,1,767
1,28335,40,1163,1,765
0,45998,95,3160,1,773
0,6894,131,3036,1,1519
0,5953,111,3891,1,1528
1,13518,15,3488,1,1532
1,8343,41,2416,0,1529
1,18851,43,2415,0,1539
1,31518,117,3175,1,762
1,11091,93,2573,1,1535
0,20858,47,4338,1,765
0,10579,139,2068,0,1506
1,30261,71,2054,1,766
1,45464,46,2597,1,773
0,22780,22,4609,0,758
0,21390,10,2057,0,762
0,21444,15,4883,0,758
0,19990,10,4102,0,761
0,20275,10,4765,0,761
0,18578,14,3372,1,764
0,21427,67,4686,0,759
0,19241,10,3515,0,759
0,17292,12,4879,1,763
0,15993,15,4433,1,1533
0,19134,16,4727,0,758
0,18182,14,3451,0,756
0,17665,10,4868,0,760
0,17675,14,4579,0,761
0,17093,14,1302,0,1536
0,18674,29,2758,0,757
0,18041,15,4392,0,756
0,18688,45,1048,0,758
0,17768,12,4505,0,758
0,17588,15,4364,0,756
0,17779,44,4402,0,763
0,18204,11,118,0,757
0,17852,12,1405,0,758
0,17478,10,4038,0,756
0,17557,16,2585,0,762
0,17473,25,2887,0,758
0,16360,24,3818,0,1532
0,17463,11,4688,0,757
0,17796,16,119,0,758
0,17626,27,973,0,1535
0,17513,10,3636,0,759
0,17147,12,4483,0,763
0,17494,12,2603,0,756
0,16943,12,2520,0,760
0,16967,10,4133,0,760
0,18995,23,364,0,762
0,18150,23,2011,0,758
0,20043,66,3775,0,759
0,17667,10,585,0,760
0,17122,10,4021,0,1528
0,17812,11,1244,0,760
0,21245,99,1289,0,759
0,18676,28,1081,0,758
0,17643,10,1718,0,759
0,17386,18,2557,0,757
0,17513,11,4145,0,758
0,17328,10,1570,0,759
0,17863,23,794,0,891
0,18923,64,4096,1,764
0,19149,75,1953,0,760
0,17511,101,167,1,767
0,17099,104,508,1,766
0,18535,65,4139,0,761
0,17309,12,2523,1,765
0,18079,68,4836,0,756
0,17185,10,1911,0,1530
0,17565,73,4043,1,764
0,17336,60,4074,1,764
0,16807,63,3298,1,764
0,16638,90,331,1,1533
0,17654,69,3523,0,761
0,17398,20,4367,0,1529
0,19450,94,4429,0,760
0,18380,83,3831,0,760
0,17561,16,4882,0,755
0,17455,74,2913,0,756
0,17386,58,2939,0,757
0,17427,14,4780,1,766
0,17144,63,2501,0,760
0,16938,58,4864,1,766
0,18026,26,4316,0,1524
0,18053,59,4340,0,1530
0,17056,71,2553,0,762
0,18570,46,3923,0,759
0,18563,34,3899,0,757
0,18176,59,3898,0,757
0,18516,61,4956,0,758
0,19095,76,4326,0,759
0,17586,54,3925,0,757
0,18096,10,4263,0,755
0,18199,34,4816,0,756
0,18239,30,4572,0,757
0,19148,32,4301,0,756
0,17148,73,4331,1,765
0,17625,14,4298,0,760
0,17381,15,3386,0,762
0,17409,11,4455,0,1526
0,17183,36,2919,0,759
0,18404,57,4540,0,758
0,17380,39,3992,0,1529
0,18296,88,4236,0,757
0,18133,38,3870,0,1526
0,18202,57,4545,0,759
0,18100,88,3880,0,1528
0,17994,20,4840,0,757
0,18017,33,4938,0,755
0,18516,39,4252,0,758
0,17544,24,4986,0,755
0,17050,31,2507,0,762
0,18049,58,4642,0,1519
0,17435,11,4933,0,1527
0,17332,35,3321,0,759
0,18363,82,3440,0,759
0,17994,10,4099,0,759
0,17984,26,4893,0,756
0,17209,53,3416,0,761
0,17001,12,3270,0,1527
0,18290,55,4081,0,757
0,17506,91,2816,0,760
0,18299,34,3785,0,756
0,18294,43,3965,0,759
0,18207,78,3811,0,757
0,18296,89,4871,0,756
0,17250,30,3188,0,845
0,17549,69,3822,0,759
0,18225,41,4551,0,760
0,18237,52,3971,0,761
0,18216,30,4404,0,758
0,18170,72,4060,0,758
0,18230,92,4502,0,762
0,18120,27,4806,0,755
0,17769,49,4791,0,759
0,18259,111,3962,0,758
0,17968,39,4839,0,1529
0,18162,97,4756,0,1524
0,17493,100,2863,0,758
0,18959,86,4996,0,761
0,18724,92,4764,0,759
0,17522,14,1906,0,758
0,18129,68,3821,0,754
0,16701,74,2842,0,1532
0,17476,11,1585,0,758
0,17554,98,1893,0,758
0,17759,84,2861,0,756
0,17899,35,4915,0,757
0,17880,13,4331,0,755
0,17598,27,4581,0,757
0,17620,63,4223,0,757
0,17804,103,4086,0,1534
0,17483,100,1302,0,760
0,18001,72,3331,0,1125
0,20192,103,4296,0,762
0,17706,46,4866,0,759
0,18968,103,4895,0,760
0,18371,97,4942,0,758
0,17568,24,4695,0,761
0,18126,34,4808,0,1526
0,19130,134,4825,0,759
0,17399,85,2019,0,758
0,17705,96,1807,0,759
0,16749,67,4919,1,766
0,17620,35,4223,0,758
0,17581,57,4196,0,759
0,18205,57,4754,0,758
0,16894,66,4363,1,766
0,17775,35,4272,0,756
0,17536,11,4855,0,759
0,17716,97,122,1,762
0,17007,96,1381,1,767
0,17528,59,4912,0,757
0,17634,41,4809,0,757
0,18093,24,4933,0,759
0,19080,149,4155,0,760
0,17512,29,4224,0,757
0,18325,104,4280,0,756
0,17513,75,4980,0,759
0,18421,95,4756,0,756
0,18328,105,4238,0,759
0,17593,29,3997,0,755
0,17530,39,4760,0,757
0,17691,26,4272,0,756
0,18223,113,4294,0,757
0,18234,118,4762,0,759
0,17552,28,4371,0,757
0,18184,143,4922,0,754
0,18176,115,4564,0,1528
0,17475,45,4841,0,757
0,17578,94,4160,0,757
0,17623,94,4207,0,759
0,18452,149,4624,0,759
0,18237,93,4647,0,759
0,18185,135,4177,0,1535
0,18232,99,4037,0,1526
0,17633,39,4331,0,760
0,19651,119,3907,0,759
0,18290,103,4866,0,757
0,18560,97,3946,0,759
0,17725,39,3843,0,774
0,17006,97,2114,0,1529
0,18754,143,4161,0,760
0,18677,132,4704,0,759
0,18390,148,4288,0,758
0,18431,112,2950,0,758
0,17646,89,4331,0,759
0,17411,115,2590,0,1530
0,17644,102,4902,0,759
0,18325,141,3813,0,758
0,18301,96,4698,0,758
0,17604,99,4372,0,757
0,17713,141,4768,0,758
0,18259,109,4734,0,758
0,17575,118,4701,0,758
0,18658,135,4159,0,758
0,18140,11,3873,0,1526
0,17591,140,4271,0,760
0,17811,143,4742,0,759
0,18133,146,4963,0,759
0,17698,98,4664,0,757
0,18088,13,4738,0,1526
0,17578,137,4148,0,757
0,19125,118,2090,0,759
0,17561,106,3847,0,758
0,17038,147,4794,0,761
0,17478,132,4186,0,758
0,16423,60,4559,1,1533
0,18287,97,3827,0,759
0,18179,138,4958,0,1528
0,18758,126,2034,0,759
0,17758,10,4346,0,757
0,18408,134,4879,0,758
0,17785,139,4414,0,755
0,18265,128,4528,0,760
0,17465,91,4677,0,757
0,18294,14,3889,0,758
0,16979,147,4673,0,1537
0,17443,87,1707,0,775
0,17543,130,2154,0,755
0,17798,116,4895,0,756
0,18225,150,3693,0,759
0,17588,114,2612,0,755
0,18181,16,3900,0,756
0,17724,106,2707,0,760
0,17583,47,4412,1,763
0,17828,116,4311,0,757
0,17478,147,4565,0,756
0,17468,100,2481,0,759
0,17493,10,4877,0,758
0,18192,41,4863,0,756
0,18233,144,2341,0,761
0,18224,10,3790,0,757
0,17372,10,2810,0,756
0,17428,107,2847,0,1529
0,18342,103,3975,0,756
0,17805,113,4336,0,761
0,17670,117,2619,0,760
0,17609,11,3736,0,754
0,17470,100,2580,0,758
0,17452,135,4378,0,756
0,17450,133,3352,0,755
0,17806,138,4957,0,764
0,17445,137,3630,0,759
0,18307,136,4223,0,758
0,18174,28,4583,0,755
0,17413,134,3581,0,1520
0,17792,113,4212,0,1526
0,18188,11,4262,0,758
0,17340,13,2184,0,756
0,17483,97,4082,0,757
0,17667,137,2459,0,760
