loopMaxUnroll,loopMinUnroll,freqInlineSize,result
9,9,3848,744
47,16,1582,746
36,23,316,748
8,22,3582,748
5,36,687,745
9,26,1556,744
46,29,2039,744
22,32,2078,743
45,5,2807,747
40,12,4671,741
39,8,4032,748
40,13,4749,745
39,12,4513,744
40,12,4435,745
40,12,4786,745
38,12,4705,744
22,12,4676,747
40,11,4656,746
42,20,4640,743
40,20,4615,747
40,23,4665,746
34,12,4649,746
43,12,4795,746
43,12,4659,747
22,30,3618,745
39,12,4674,747
39,13,4676,745
6,25,2039,745
41,2,4664,744
36,28,2086,743
37,27,2093,747
34,28,2063,745
36,37,2135,747
40,15,4678,743
40,49,4672,742
40,46,4630,745
41,47,4696,745
39,45,4231,748
37,50,4673,744
40,50,4856,746
