irrelevant,result
1,750
2,744
3,746
4,745
5,747
6,745
7,746
8,748
9,745
10,744
11,746
12,744
13,745
14,745
15,750
16,752
17,748
18,746
19,746
20,747
21,748
22,744
23,745
24,746
25,745
26,745
27,747
28,744
29,745
30,743
31,745
32,747
33,747
34,749
35,744
36,745
37,745
38,745
39,748
40,750
41,745
42,745
43,746
44,742
45,745
46,747
47,747
48,746
49,746
50,744
51,747
52,749
53,745
54,747
55,746
56,744
57,747
58,745
59,747
60,747
61,745
62,743
63,747
64,749
65,743
66,749
67,746
68,744
69,746
70,746
71,747
72,745
73,745
74,748
75,745
76,747
77,748
78,744
79,747
80,751
81,747
82,751
83,745
84,748
85,750
86,743
87,743
88,745
89,747
90,749
91,746
92,746
93,747
94,746
95,747
96,748
97,743
98,747
99,744
100,748
