irrelevant,result
1,132.9754729270935
2,134.7512810230255
3,135.09949922561646
4,134.64371180534363
5,135.37810587882996
6,134.89935994148254
7,134.43398594856262
8,136.11122298240662
9,135.66658210754395
10,134.64233016967773
11,136.56788897514343
12,134.20353603363037
13,134.1880497932434
14,134.65328192710876
15,134.92870092391968
16,135.19716501235962
17,134.13348007202148
18,134.98554301261902
19,136.27478194236755
20,136.027174949646
21,134.51934504508972
22,135.14581513404846
23,134.79893612861633
24,135.19478702545166
25,136.4997799396515
26,134.98299288749695
27,136.41565108299255
28,134.08391499519348
29,135.24225187301636
30,135.0490710735321
31,134.26698112487793
32,136.29423713684082
33,134.19710302352905
34,134.75061917304993
35,134.01733708381653
36,134.8748002052307
37,136.06476497650146
38,134.44889116287231
39,134.22531700134277
40,133.79511499404907
41,134.8433039188385
42,135.19556212425232
43,134.98873114585876
44,135.09156799316406
45,134.3776228427887
46,134.62649178504944
47,135.01739597320557
48,135.99883008003235
49,134.40074396133423
50,134.62775206565857
51,134.95351600646973
52,135.09331607818604
53,135.27197885513306
54,136.35272097587585
55,134.6600911617279
56,134.97630095481873
57,135.2527289390564
58,134.09992504119873
59,134.09186792373657
60,134.69132494926453
61,134.26509404182434
62,135.89016103744507
63,134.68075585365295
64,136.46636509895325
65,134.87750101089478
66,134.53786492347717
67,134.4450879096985
68,134.17279505729675
69,134.09477710723877
70,134.24541306495667
71,134.53083205223083
72,134.0031659603119
73,134.2064549922943
74,134.3241879940033
75,136.4984381198883
76,134.9025809764862
77,134.17673087120056
78,134.71555495262146
79,135.45670914649963
80,134.87186312675476
81,134.3147292137146
82,134.62037897109985
83,135.0377779006958
84,134.84271216392517
85,134.64538288116455
86,134.56511282920837
87,136.09980607032776
88,134.7084550857544
89,136.09343099594116
90,134.1305799484253
91,134.54312896728516
92,134.95233798027039
93,135.06845903396606
94,136.2939031124115
95,134.43501091003418
96,134.28351283073425
97,134.26448798179626
98,134.32165098190308
99,134.89844489097595
100,134.36063194274902
