irrelevant,result
1,820215.06864564
2,795422.3230261802
3,722302.2185116471
4,804272.6130694703
5,812093.7151102866
6,848272.3562152134
7,726419.237682952
8,785897.8771387342
9,747102.7002679859
10,840862.5677179962
11,782962.3283858999
12,815633.856730571
13,762734.5042259329
14,865962.1276025563
15,755435.1900639044
16,773905.6767676767
17,769433.1706864565
18,811963.7417027418
19,837589.4689754689
20,765926.8218923933
21,813185.1855287568
22,715149.4693877551
23,886847.6345083487
24,859273.7887033601
25,864585.9859822716
26,779994.1428571428
27,779944.5351473923
28,843704.755926613
29,803059.4582560298
30,745490.5677179963
31,815213.1368789941
32,798485.384044527
33,832051.3607503608
34,813609.4182642754
35,824235.2444856731
36,754533.905380334
37,786803.019995877
38,792332.8627087197
39,804451.6458462174
40,799508.1906823335
41,781765.0917336632
42,805667.1473922903
43,850826.5246340962
44,849186.599257885
45,874164.1038961038
46,738466.9371263657
47,743140.1799628942
48,749992.5982271696
49,847393.9575345288
50,810878.1139971141
51,827057.6427540714
52,773722.0521541949
53,758153.3131313131
54,821645.5301999587
55,877452.9461966605
56,758065.0725623583
57,780455.7643784788
58,835384.8295196865
59,858349.5677179962
60,737042.8363224078
61,792279.8029272314
62,849905.9934034218
63,764456.2457225313
64,763241.6780045351
65,765069.1820243248
66,855542.9556792413
67,777678.67429396
68,813932.5623582767
69,801266.8256029685
70,787581.4281591425
71,820067.693877551
72,765681.9760874046
73,844301.7695320552
74,793220.0278293137
75,885375.7924139354
76,813479.4900020615
77,822790.0092764379
78,830340.870336013
79,827261.6192537622
80,849324.3636363636
81,734913.397856112
82,798605.7955060811
83,912843.6124510411
84,797246.5324675326
85,735278.3601319315
86,801486.2059369201
87,703977.8505462791
88,722685.768295197
89,828221.3384869099
90,723255.3805400949
91,832280.8975468976
92,775348.0713254998
93,814154.0336013193
94,855885.7083075657
95,758093.8072562357
96,856697.7421150277
97,801018.0960626673
98,867533.302618017
99,884447.46567718
100,783423.742321171
