freqInlineSize,result
5,31574
10,31374
15,31028
20,30777
25,29791
30,28425
35,29501
40,29427
45,29015
50,29625
55,28989
60,29237
65,29839
70,29882
75,28952
80,28949
85,28913
90,28703
95,28957
100,28588
105,29102
110,28764
115,28899
120,28560
125,28624
130,28596
135,29232
140,29678
145,29242
150,29602
155,29798
160,29687
165,29678
170,29375
175,29394
180,29678
185,29270
190,29715
195,29270
200,29655
205,29334
210,29403
215,29597
220,29842
225,29226
230,29629
235,29594
240,29504
245,29561
250,29582
255,30291
260,30944
265,30501
270,30551
275,30507
280,30501
285,30225
290,30523
295,30536
300,30583
305,30519
310,30520
315,30261
320,30548
325,30257
330,30517
335,30502
340,30529
345,30556
350,30481
355,30522
360,30521
365,30514
370,30536
375,30548
380,30503
385,31126
390,31011
395,31119
400,31123
405,31143
410,30909
415,31159
420,31177
425,31118
430,31089
435,30863
440,30859
445,31097
450,31137
455,31130
460,31079
465,31126
470,31137
475,31103
480,31195
485,31197
490,31121
495,31154
500,30874
505,31497
510,31721
515,31757
520,31223
525,31700
530,31484
535,31730
540,31470
545,31521
550,31490
555,31482
560,31521
565,31772
570,31510
575,31729
580,31782
585,31790
590,31749
595,30634
600,30826
605,31259
610,31054
615,30780
620,30768
625,30966
630,30730
635,30754
640,30790
645,30733
650,30789
655,30967
660,30789
665,30828
670,30749
675,30329
680,30754
685,30738
690,31008
695,30801
700,30795
705,30710
710,30509
715,30469
720,31030
725,30791
730,30304
735,30772
740,30823
745,30814
750,31057
755,31052
760,30784
765,30232
770,30515
775,30733
780,30469
785,30820
790,31044
795,30779
800,30558
805,30952
810,30708
815,30968
820,30980
825,30775
830,30764
835,30735
840,30745
845,30594
850,30950
855,30996
860,30506
865,30582
870,30765
875,30754
880,30809
885,30571
890,30737
895,30868
900,30780
905,30796
910,30548
915,30791
920,30739
925,30922
930,30752
935,30779
940,30793
945,30959
950,30758
955,30848
960,30514
965,30731
970,30541
975,30964
980,30501
985,30799
990,30462
995,30741
1000,30928
