inlineSmallCode,result
500,29879
550,30284
600,30341
650,30059
700,30333
750,30369
800,30296
850,30404
900,30369
950,30553
1000,30545
1050,30450
1100,30085
1150,30324
1200,30055
1250,30297
1300,30805
1350,31150
1400,30798
1450,30298
1500,30524
1550,30532
1600,30551
1650,30572
1700,30564
1750,30615
1800,30558
1850,30561
1900,30569
1950,30530
2000,30556
2050,30576
2100,30567
2150,30553
2200,30554
2250,30403
2300,31169
2350,31145
2400,31146
2450,31303
2500,31163
2550,30893
2600,31159
2650,31146
2700,30983
2750,30809
2800,31160
2850,31137
2900,31133
2950,31100
3000,31117
3050,31112
3100,31136
3150,31137
3200,30870
3250,31153
3300,31123
3350,31146
3400,31134
3450,30833
3500,30860
3550,31134
3600,31170
3650,30854
3700,31117
3750,31271
3800,30879
3850,30854
3900,31158
3950,31113
4000,30856
4050,31083
4100,31133
4150,31077
4200,31110
4250,31155
4300,31108
4350,31139
4400,31100
4450,31116
4500,31169
4550,31143
4600,31166
4650,31488
4700,31530
4750,31496
4800,31478
4850,30976
4900,31444
4950,31816
5000,31670
