compileThreshold,result
500,5661
600,5677
700,5798
800,5801
900,5991
1000,5166
1100,5201
1200,5429
1300,5453
1400,5320
1500,5130
1600,5253
1700,5105
1800,4969
1900,5243
2000,4785
2100,4794
2200,4826
2300,4840
2400,4844
2500,4740
2600,4685
2700,4665
2800,4519
2900,4511
3000,4789
3100,4535
3200,4571
3300,4568
3400,4582
3500,4789
3600,4722
3700,4630
3800,4652
3900,4535
4000,4434
4100,4376
4200,4347
4300,4412
4400,4433
4500,4400
4600,4563
4700,4507
4800,4561
4900,4778
5000,4708
5100,4705
5200,4851
5300,4852
5400,4839
5500,4826
5600,4820
5700,4827
5800,4762
5900,4840
6000,4843
6100,4872
6200,4860
6300,4850
6400,4718
6500,4899
6600,4581
6700,4526
6800,4533
6900,4592
7000,4596
7100,4603
7200,4605
7300,4619
7400,4605
7500,4538
7600,4527
7700,4569
7800,4606
7900,4656
8000,4602
8100,4662
8200,4517
8300,4553
8400,4576
8500,4619
8600,4634
8700,4717
8800,4711
8900,4718
9000,4748
9100,4685
9200,4758
9300,4755
9400,4524
9500,4436
9600,4507
9700,4510
9800,4507
9900,4502
10000,4524
10100,4524
10200,4535
10300,4536
10400,4539
10500,4273
10600,4276
10700,4246
10800,4503
10900,4660
11000,4297
11100,4530
11200,4252
11300,4238
11400,4219
11500,4260
11600,4216
11700,4217
11800,4218
11900,4230
12000,4225
12100,4235
12200,4242
12300,4240
12400,4250
12500,4243
12600,4244
12700,4251
12800,4220
12900,4218
13000,4225
13100,4234
13200,4470
13300,4613
13400,4501
13500,4616
13600,4626
13700,4631
13800,4219
13900,4635
14000,4242
14100,4248
14200,4256
14300,4528
14400,4670
14500,4498
14600,4504
14700,4514
14800,4256
14900,4510
15000,4283
15100,4519
15200,4524
15300,4277
15400,4318
15500,4504
15600,4138
15700,4309
15800,4308
15900,4319
16000,4194
16100,4328
16200,4201
16300,4365
16400,4246
16500,4269
16600,4294
16700,4285
16800,4290
16900,4261
17000,4298
17100,4295
17200,4349
17300,4362
17400,4375
17500,4355
17600,4383
17700,4133
17800,4397
17900,4369
18000,4145
18100,4139
18200,4145
18300,4145
18400,4145
18500,4411
18600,4413
18700,4428
18800,4436
18900,4456
19000,4728
19100,4467
19200,4330
19300,4344
19400,4326
19500,4333
19600,4082
19700,4339
19800,4351
19900,4358
20000,4095
20100,4690
20200,4684
20300,4697
20400,4673
20500,4675
20600,4684
20700,4689
20800,4698
20900,4705
21000,4698
21100,4286
21200,4289
21300,4318
21400,4298
21500,4300
21600,4299
21700,4305
21800,4308
21900,4311
22000,4317
22100,4247
22200,4248
22300,4258
22400,4263
22500,4266
22600,4256
22700,4294
22800,4274
22900,4276
23000,4317
23100,4055
23200,4334
23300,4332
23400,4090
23500,4078
23600,4078
23700,4349
23800,4081
23900,4081
24000,4360
24100,4342
24200,4349
24300,4372
24400,4380
24500,4368
24600,4364
24700,4365
24800,4371
24900,4055
25000,4055
25100,4055
25200,4067
25300,4338
25400,4364
25500,4363
25600,4375
25700,4353
25800,4093
25900,4357
26000,4368
26100,4114
26200,4115
26300,4111
26400,4121
26500,4126
26600,4122
26700,4119
26800,4120
26900,4127
27000,4136
27100,4127
27200,4122
27300,4129
27400,4097
27500,4105
27600,4113
27700,4106
27800,4108
27900,4116
28000,4125
28100,4138
28200,4127
28300,4133
28400,4138
28500,4151
28600,4151
28700,4146
28800,4154
28900,4159
29000,4435
29100,4458
29200,4436
29300,4437
29400,4442
29500,4447
29600,4745
29700,4484
29800,4458
29900,4459
30000,4494
30100,4469
30200,4216
30300,4472
30400,4480
30500,4477
30600,4481
30700,4499
30800,4500
30900,4496
31000,4441
31100,4444
31200,4443
31300,4440
31400,4443
31500,4443
31600,4454
31700,4456
31800,4462
31900,4464
32000,4459
32100,4460
32200,4477
32300,4470
32400,4476
32500,4473
32600,4497
32700,4499
32800,4491
32900,4496
33000,4492
33100,4503
33200,4506
33300,4503
33400,4506
33500,4528
33600,4524
33700,4535
33800,4534
33900,4531
34000,4549
34100,4558
34200,4566
34300,4569
34400,4558
34500,4559
34600,4558
34700,4567
34800,4302
34900,4572
35000,4599
35100,4603
35200,4609
35300,4613
35400,4612
35500,4617
35600,4882
35700,4631
35800,4631
35900,4898
36000,4898
36100,4618
36200,4636
36300,4632
36400,4632
36500,4650
36600,4398
36700,4662
36800,4667
36900,4672
37000,4673
37100,4385
37200,4667
37300,4920
37400,4656
37500,4694
37600,4695
37700,4708
37800,4707
37900,4705
38000,4720
38100,4693
38200,4697
38300,4702
38400,4700
38500,4725
38600,4726
38700,4734
38800,4739
38900,4747
39000,4735
39100,4709
39200,4718
39300,4724
39400,4726
39500,4728
39600,4733
39700,4743
