maxInlineSize,result
5,30920
10,30860
15,30872
20,31050
25,30982
30,30899
35,30522
40,30585
45,30683
50,30553
55,30513
60,31131
65,31251
70,31837
75,31994
80,32568
85,32281
90,32009
95,32448
100,32019
105,32146
110,32304
115,32193
120,32909
125,32584
130,32807
135,32921
140,32934
145,33055
150,33048
155,32767
160,33137
165,32866
170,32873
175,32333
180,33267
185,33631
190,34177
195,34090
200,34282
205,35549
210,34890
215,34940
220,34927
225,35187
230,35756
235,35741
240,36033
245,35708
250,35575
255,36008
260,34996
265,36071
270,35409
275,36128
280,35888
285,35561
290,35877
295,35196
300,35667
305,35651
310,36157
315,35780
320,36029
325,35591
330,35448
335,35584
340,35760
345,35586
350,35493
355,35981
360,35805
365,35806
370,35885
375,35878
380,35569
385,35930
390,35758
395,35685
400,35979
405,35792
410,35732
415,35447
420,35514
425,35985
430,35672
435,35822
440,36015
445,36012
450,35766
455,35927
460,35979
465,36022
470,35891
475,35427
480,35807
485,35532
490,36084
495,35613
500,36295
505,36299
510,35952
515,36335
520,36313
525,35995
530,36270
535,36210
540,36280
545,36250
550,35938
555,36542
560,36285
565,36258
570,35975
575,35585
580,35632
585,35961
590,35624
595,35845
600,35357
605,35684
610,35979
615,35703
620,36223
625,35951
630,35559
635,36161
640,35886
645,36072
650,35845
655,35905
660,35912
665,35614
670,35921
675,36382
680,36515
685,36620
690,36583
695,36344
700,36108
705,36141
710,35797
715,36004
720,35778
725,36033
730,36223
735,35961
740,35729
745,35784
750,36254
755,35852
760,36414
765,36046
770,36274
775,35996
780,36105
785,36143
790,35886
795,36105
800,36486
805,36158
810,36547
815,36448
820,36643
825,36476
830,36674
835,36479
840,36370
845,36461
850,36036
855,36518
860,37096
865,36622
870,36301
875,36465
880,36414
885,36605
890,36203
895,36689
900,36569
905,36663
910,36440
915,36670
920,36908
925,36365
930,36324
935,36762
940,36405
945,36591
950,36402
955,35803
960,36404
965,36361
970,36371
975,36423
980,36371
985,36433
990,36750
995,36345
1000,36649
